# 18 - Evidence Inventory

## All 20 Evidence Files

| # | Filename | Description | Size |
|---|----------|-------------|------|
| 1 | 00-verdict.md | Final verdict (FAIL) | [bytes] |
| 2 | 01-environment.md | Environment setup, Node v24.18.0, initial SHA-256 | [bytes] |
| 3 | 02-v103-audit.md | v1.0.3 audit - passed/failed gates | [bytes] |
| 4 | 03-integrity-initial.md | Initial SHA-256 checksums | [bytes] |
| 5 | 04-script-change.md | Authorized script fixes (venv-first, npm stderr) | [bytes] |
| 6 | 05-powershell-parse.log | PowerShell parse validation (0 errors) | [bytes] |
| 7 | 06-test-load-and-lint.log | ESLint (0 errors) + Playwright list (1 test) | [bytes] |
| 8 | 07-startup-stdout.log | JSON output from startup script | [bytes] |
| 9 | 08-startup-stderr.log | Startup stderr (empty/minimal) | [bytes] |
| 10 | 09-startup-state.json | Full state.json content | [bytes] |
| 11 | 10-runtime-verification.md | Backend/frontend health, Python runtime | [bytes] |
| 12 | 11-playwright-real-e2e.log | E2E test failure at line 86 | [bytes] |
| 13 | 12-playwright-results-v1.0.4.zip.md | ZIP location note (not duplicated) | [bytes] |
| 14 | 13-playwright-zip-inventory.txt | ZIP contents inventory | [bytes] |
| 15 | 14-cleanup.md | Services stopped, artifacts cleaned | [bytes] |
| 16 | 15-sqlite-final.md | SQLite SHA-256 verification | [bytes] |
| 17 | 16-integrity-final.md | Final SHA-256 checksums | [bytes] |
| 18 | 17-known-issues.md | Known issues documentation | [bytes] |
| 19 | 18-evidence-inventory.txt | This file | [bytes] |
| 20 | 20-deliverable-to-architect.md | Deliverable summary | [bytes] |

## ZIP Artifact (external)
- **Path**: C:\Users\javie\AppData\Local\Temp\cajaapp-headless\playwright-results-v1.0.4.zip
- **Size**: 4,503,136 bytes

## Total Evidence Files: 20
